media   media   robot   robot   robot   side/   ret    size     status/
 ID     type    type      #     slot    face    level  KBytes    multiplexed
----------------------------------------------------------------------------
7year_backup pool

RD0061	HCART3  NONE	  -	   -	  -	 13  798956032	FULL/SUSPENDED/MPX
RD0322	HCART3  NONE	  -	   -	  -	 13  809921454	FULL/SUSPENDED/MPX
RD0340	HCART3  NONE	  -	   -	  -	 13  691785728	FULL/SUSPENDED/MPX
RD0739	HCART3  NONE	  -	   -	  -	 13 1217740981	FULL/SUSPENDED/MPX
RD0741	HCART3  NONE	  -	   -	  -	 13  652949950	FULL/SUSPENDED/MPX
RC0582	HCART3  NONE	  -	   -	  -	 13  276686822	SUSPENDED
RC0837	HCART3  NONE	  -	   -	  -	 13   84704704	SUSPENDED
RCB192	HCART3  NONE	  -	   -	  -	 13   45042328	SUSPENDED
RC0141	HCART3  NONE	  -	   -	  -	 13    7548599	SUSPENDED/MPX
RC0409	HCART3  NONE	  -	   -	  -	 13   13172833	SUSPENDED/MPX
RC0848	HCART3  NONE	  -	   -	  -	 13   24039047	SUSPENDED/MPX
RCB323	HCART3  NONE	  -	   -	  -	 13   17812394	SUSPENDED/MPX
RCB607	HCART3  NONE	  -	   -	  -	 13  485792449	SUSPENDED/MPX
RCB953	HCART3  NONE	  -	   -	  -	 13   22183159	SUSPENDED/MPX
RCC087	HCART3  NONE	  -	   -	  -	 13  404642612	SUSPENDED/MPX
RCC716	HCART3  NONE	  -	   -	  -	 13   14462585	SUSPENDED/MPX
RCD039	HCART3  NONE	  -	   -	  -	 13  146386733	SUSPENDED/MPX
RCD462	HCART3  NONE	  -	   -	  -	 13  250062587	SUSPENDED/MPX
RCE758	HCART3  NONE	  -	   -	  -	 13  371855774	SUSPENDED/MPX
RCE941	HCART3  NONE	  -	   -	  -	 13    7352408	SUSPENDED/MPX
RCF913	HCART3  NONE	  -	   -	  -	 13  195736580	SUSPENDED/MPX
RCG141	HCART3  NONE	  -	   -	  -	 13  151340419	SUSPENDED/MPX
RCG192	HCART3  NONE	  -	   -	  -	 13  172956874	SUSPENDED/MPX
RCG261	HCART3  NONE	  -	   -	  -	 13   77920095	SUSPENDED/MPX
RCG651	HCART3  NONE	  -	   -	  -	 13   95636832	SUSPENDED/MPX
RCG820	HCART3  NONE	  -	   -	  -	 13  204960666	SUSPENDED/MPX
RCH095	HCART3  NONE	  -	   -	  -	 13   11664853	SUSPENDED/MPX
RCH102	HCART3  NONE	  -	   -	  -	 13  102925278	SUSPENDED/MPX
RCH347	HCART3  NONE	  -	   -	  -	 13    4077896	SUSPENDED/MPX
RCH447	HCART3  NONE	  -	   -	  -	 13  112863105	SUSPENDED/MPX
RCH500	HCART3  NONE	  -	   -	  -	 13   45075745	SUSPENDED/MPX
RCH975	HCART3  NONE	  -	   -	  -	 13 1648178523	SUSPENDED/MPX
RCI645	HCART3  NONE	  -	   -	  -	 13   92893601	SUSPENDED/MPX
RCI921	HCART3  NONE	  -	   -	  -	 13  844969902	SUSPENDED/MPX
RD0003	HCART3  NONE	  -	   -	  -	 13  421547755	SUSPENDED/MPX
RD0409	HCART3  NONE	  -	   -	  -	 13  712694480	SUSPENDED/MPX
RD0513	HCART3  NONE	  -	   -	  -	 13 1298814211	SUSPENDED/MPX

7year_backup_2 pool

1530L5	HCART3  NONE	  -	   -	  -	 13   17802016	   ACTIVE
RCC408	HCART3  NONE	  -	   -	  -	 13   20531596	   ACTIVE
RG0760	HCART3  NONE	  -	   -	  -	 13    9035963	   ACTIVE
RGS309	HCART3  NONE	  -	   -	  -	 13   25575232	   ACTIVE
RN0565	HCART3  NONE	  -	   -	  -	 13  451584758	   ACTIVE
RN1470	HCART3  NONE	  -	   -	  -	 13  170988256	   ACTIVE
RNR550	HCART3  NONE	  -	   -	  -	 13  517185440	   ACTIVE
RNR713	HCART3  NONE	  -	   -	  -	 13   39144272	   ACTIVE
RNT889	HCART3   TLD	  8	 126	  -	 13  547140448	   ACTIVE
RC1437	HCART3  NONE	  -	   -	  -	 13 1747095735	 FULL/MPX
RCA694	HCART3  NONE	  -	   -	  -	 13  546706500	 FULL/MPX
RCB198	HCART3  NONE	  -	   -	  -	 13  504115712	 FULL/MPX
RCC637	HCART3  NONE	  -	   -	  -	 13  530993664	 FULL/MPX
RCD951	HCART3  NONE	  -	   -	  -	 13  546319360	 FULL/MPX
RCE042	HCART3  NONE	  -	   -	  -	 13  418721467	 FULL/MPX
RCE228	HCART3  NONE	  -	   -	  -	 13  690077635	 FULL/MPX
RCE753	HCART3  NONE	  -	   -	  -	 13  663647731	 FULL/MPX
RCF050	HCART3  NONE	  -	   -	  -	 13  547061155	 FULL/MPX
RCF650	HCART3  NONE	  -	   -	  -	 13  460972377	 FULL/MPX
RD0124	HCART3  NONE	  -	   -	  -	 13  962274047	 FULL/MPX
RD0136	HCART3  NONE	  -	   -	  -	 13 1199726623	 FULL/MPX
RD0228	HCART3  NONE	  -	   -	  -	 13 1426269951	 FULL/MPX
RD0262	HCART3  NONE	  -	   -	  -	 13  978326142	 FULL/MPX
RD0270	HCART3  NONE	  -	   -	  -	 13 1029209907	 FULL/MPX
RD0709	HCART3  NONE	  -	   -	  -	 13  803570688	 FULL/MPX
RD0710	HCART3  NONE	  -	   -	  -	 13  847233280	 FULL/MPX
RG0135	HCART3  NONE	  -	   -	  -	 13 2221253104	 FULL/MPX
RGS585	HCART3  NONE	  -	   -	  -	 13 2626671110	 FULL/MPX
RN0684	HCART3  NONE	  -	   -	  -	 13 1827346340	 FULL/MPX
RN0798	HCART3  NONE	  -	   -	  -	 13 1886529195	 FULL/MPX
RNR173	HCART3  NONE	  -	   -	  -	 13 4198437725	 FULL/MPX
RNR372	HCART3  NONE	  -	   -	  -	 13 2821590394	 FULL/MPX
RNR465	HCART3  NONE	  -	   -	  -	 13 2635863482	 FULL/MPX
RNS247	HCART3  NONE	  -	   -	  -	 13 3082466812	 FULL/MPX
1437L5	HCART3  NONE	  -	   -	  -	 13  131514010	ACTIVE/MPX
RC0299	HCART3  NONE	  -	   -	  -	 13   66010752	ACTIVE/MPX
RC1057	HCART3  NONE	  -	   -	  -	 13   74945422	ACTIVE/MPX
RCA178	HCART3  NONE	  -	   -	  -	 13   15145731	ACTIVE/MPX
RCA621	HCART3  NONE	  -	   -	  -	 13  418862845	ACTIVE/MPX
RCC355	HCART3  NONE	  -	   -	  -	 13   13478569	ACTIVE/MPX
RCC484	HCART3  NONE	  -	   -	  -	 13      83451	ACTIVE/MPX
RCC613	HCART3  NONE	  -	   -	  -	 13     120618	ACTIVE/MPX
RCC680	HCART3  NONE	  -	   -	  -	 13  267775932	ACTIVE/MPX
RCC956	HCART3  NONE	  -	   -	  -	 13   11187116	ACTIVE/MPX
RCE934	HCART3  NONE	  -	   -	  -	 13   72087761	ACTIVE/MPX
RCF385	HCART3  NONE	  -	   -	  -	 13  132453433	ACTIVE/MPX
RCF822	HCART3  NONE	  -	   -	  -	 13   55340320	ACTIVE/MPX
RD0133	HCART3  NONE	  -	   -	  -	 13  132884253	ACTIVE/MPX
RD0144	HCART3  NONE	  -	   -	  -	 13  278438512	ACTIVE/MPX
RD0320	HCART3  NONE	  -	   -	  -	 13    1010279	ACTIVE/MPX
